,Class
0,3
1,3
2,3
3,3
4,1
5,0
6,2
7,0
8,0
9,1
10,0
11,0
12,3
13,0
14,3
15,0
16,2
17,1
18,2
19,0
20,0
21,0
22,3
23,2
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,3
33,1
34,2
35,0
36,2
37,0
38,1
39,0
40,3
41,0
42,2
43,0
44,2
45,2
46,2
47,1
48,0
49,0
50,2
51,0
52,2
53,0
54,0
55,0
56,1
57,0
58,2
59,0
60,0
61,1
62,3
63,0
64,3
65,0
66,2
67,0
68,2
69,0
70,0
71,2
72,3
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,2
85,2
86,0
87,0
88,1
89,3
90,0
91,0
92,2
93,1
94,0
95,1
96,0
97,0
98,0
99,1
100,3
101,0
102,0
103,0
104,1
105,1
106,0
107,0
108,2
109,1
110,3
111,0
112,3
113,0
114,2
115,3
116,2
117,1
118,3
119,2
120,0
121,3
122,2
123,0
124,2
125,3
126,0
127,2
128,2
129,0
130,2
131,2
132,0
133,0
134,1
135,1
136,0
137,1
138,0
139,2
140,2
141,0
142,2
143,0
144,2
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,2
154,3
155,3
156,3
157,1
158,1
159,0
160,0
161,1
162,0
163,3
164,1
165,0
166,3
167,3
168,1
169,2
170,0
171,1
172,2
173,0
174,0
175,0
176,3
177,1
178,0
179,0
180,3
181,3
182,1
183,2
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,0
193,2
194,2
195,3
196,0
197,3
198,0
199,0
200,2
201,1
202,0
203,0
204,1
205,0
206,2
207,0
208,1
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,3
219,3
220,3
221,2
222,2
223,3
224,2
225,1
226,0
227,0
228,0
229,0
230,0
231,0
232,2
233,0
234,0
235,0
236,1
237,3
238,3
239,0
240,0
241,1
242,0
243,0
244,0
245,1
246,1
247,2
248,0
249,2
250,2
251,1
252,0
253,0
254,0
255,2
256,1
257,3
258,1
259,0
260,0
261,0
262,2
263,0
264,0
265,3
266,0
267,2
268,0
269,0
270,2
271,2
272,3
273,0
274,2
275,0
276,2
277,0
278,3
279,0
280,1
281,1
282,3
283,1
284,0
285,2
286,2
287,2
288,1
289,1
290,2
291,0
292,3
293,0
294,0
295,0
296,2
297,3
298,0
299,2
300,0
301,0
302,0
303,0
304,2
305,0
306,2
307,0
308,0
309,2
310,3
311,2
312,3
313,2
314,0
315,0
316,0
317,2
318,2
319,2
320,3
321,3
322,0
323,0
324,2
325,2
326,1
327,0
328,1
329,0
330,3
331,3
332,0
333,3
334,1
335,3
336,3
337,1
338,3
339,0
340,1
341,1
342,1
343,0
344,0
345,0
346,0
347,3
348,3
349,0
350,0
351,2
352,0
353,3
354,0
355,3
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,2
364,0
365,1
366,1
367,0
368,3
369,0
370,2
371,3
372,0
373,1
374,0
375,1
376,0
377,0
378,0
379,3
380,1
381,3
382,0
383,0
384,0
385,2
386,0
387,0
388,0
389,1
390,0
391,0
392,0
393,0
394,0
395,3
396,3
397,0
398,1
399,0
400,3
401,0
402,2
403,0
404,3
405,3
406,0
407,2
408,0
409,3
410,0
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,3
422,0
423,0
424,0
425,0
426,1
427,1
428,3
429,3
430,3
431,0
432,1
433,0
434,0
435,0
436,0
437,1
438,0
439,0
440,0
441,2
442,0
443,3
444,0
445,0
446,0
447,1
448,0
449,0
450,0
451,0
452,3
453,1
454,3
455,1
456,2
457,0
458,1
459,3
460,0
461,2
462,0
463,2
464,0
465,3
466,0
467,2
468,2
469,0
470,3
471,0
472,0
473,3
474,3
475,3
476,3
477,0
478,3
479,0
480,3
481,2
482,0
483,3
484,0
485,0
486,3
487,3
488,3
489,0
490,0
491,0
492,0
493,1
494,0
495,1
496,3
497,3
498,3
499,2
500,3
501,2
502,3
503,0
504,0
505,0
506,3
507,0
508,0
509,3
510,2
511,0
512,2
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,2
526,0
527,3
528,1
529,0
530,0
531,3
532,0
533,1
534,2
535,1
536,0
537,3
538,0
539,2
540,3
541,0
542,3
543,3
544,0
545,2
546,0
547,0
548,2
549,0
550,3
551,0
552,0
553,0
554,3
555,0
556,0
557,0
558,3
559,2
560,3
561,0
562,3
563,3
564,3
565,0
566,0
567,0
568,1
569,0
570,2
571,3
572,0
573,1
574,0
575,0
576,3
577,2
578,0
579,0
580,0
581,1
582,3
583,3
584,2
585,0
586,0
587,1
588,0
589,0
590,2
591,0
592,1
593,0
594,2
595,0
596,1
597,3
598,0
599,1
600,1
601,3
602,0
603,3
604,0
605,0
606,0
607,0
608,1
609,0
610,0
611,2
612,2
613,0
614,3
615,2
616,0
617,0
618,0
619,1
620,0
621,1
622,0
623,1
624,0
625,3
626,0
627,3
628,0
629,2
630,0
631,1
632,1
633,0
634,1
635,3
636,0
637,2
638,1
639,1
640,2
641,0
642,0
643,0
644,0
645,3
646,1
647,0
648,3
649,0
650,2
651,1
652,1
653,0
654,0
655,2
656,2
657,2
658,0
659,0
660,0
661,2
662,0
663,3
664,2
665,0
666,3
667,0
668,0
669,0
670,3
671,0
672,0
673,1
674,0
675,0
676,0
677,3
678,0
679,1
680,0
681,0
682,3
683,1
684,2
685,3
686,0
687,1
688,3
689,0
690,0
691,3
692,0
693,1
694,1
695,0
696,0
697,0
698,0
699,1
700,0
701,0
702,0
703,0
704,3
705,2
706,3
707,2
708,0
709,0
710,0
711,2
712,2
713,3
714,0
715,1
716,2
717,0
718,0
719,1
720,2
721,0
722,0
723,2
724,0
725,0
726,3
727,0
728,0
729,0
730,2
731,0
732,0
733,0
734,2
735,0
736,3
737,3
738,3
739,0
740,2
741,1
742,3
743,1
744,0
745,0
746,0
747,0
748,0
749,3
750,2
751,3
752,2
753,1
754,0
755,1
756,0
757,0
758,0
759,0
760,2
761,3
762,0
763,0
764,0
765,0
766,0
767,0
768,1
769,0
770,0
771,0
772,0
773,0
774,0
775,1
776,2
777,0
778,1
779,0
780,0
781,0
782,0
783,2
784,1
785,0
786,0
787,0
788,3
789,0
790,0
791,2
792,1
793,0
794,0
795,1
796,0
797,0
798,1
799,1
800,0
801,3
802,1
803,0
804,0
805,0
806,0
807,2
808,3
809,2
810,0
811,0
812,1
813,0
814,2
815,3
816,1
817,2
818,0
819,2
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,1
829,0
830,2
831,0
832,3
833,0
834,0
835,0
836,0
837,3
838,0
839,0
840,0
841,3
842,0
843,3
844,0
845,2
846,0
847,3
848,1
849,0
850,0
851,0
852,2
853,1
854,0
855,0
856,0
857,0
858,1
859,0
860,0
861,0
862,0
863,0
864,1
865,2
866,0
867,3
868,0
869,0
870,1
871,3
872,2
873,0
874,3
875,2
876,2
877,1
878,0
879,2
880,0
881,1
