,Classes
0,2
1,2
2,1
3,3
4,0
5,2
6,1
7,2
8,2
9,0
10,2
11,2
12,3
13,2
14,2
15,1
16,1
17,0
18,2
19,3
20,2
21,3
22,3
23,3
24,2
25,2
26,2
27,2
28,2
29,0
30,2
31,2
32,1
33,0
34,2
35,1
36,2
37,2
38,0
39,2
40,2
41,2
42,2
43,2
44,1
45,2
46,1
47,0
48,2
49,2
50,2
51,2
52,1
53,2
54,2
55,2
56,0
57,2
58,2
59,2
60,2
61,0
62,2
63,2
64,2
65,3
66,1
67,2
68,2
69,3
70,2
71,2
72,2
73,2
74,2
75,2
76,0
77,3
78,2
79,2
80,2
81,2
82,3
83,2
84,2
85,2
86,2
87,2
88,0
89,3
90,2
91,2
92,1
93,0
94,2
95,0
96,2
97,3
98,2
99,0
100,2
101,2
102,2
103,2
104,0
105,0
106,3
107,2
108,2
109,0
110,1
111,2
112,2
113,3
114,2
115,2
116,2
117,0
118,2
119,2
120,2
121,1
122,2
123,3
124,2
125,2
126,2
127,2
128,2
129,2
130,2
131,2
132,3
133,3
134,0
135,0
136,3
137,0
138,3
139,1
140,2
141,2
142,2
143,2
144,2
145,2
146,0
147,2
148,2
149,2
150,2
151,3
152,3
153,2
154,2
155,2
156,2
157,0
158,0
159,3
160,2
161,0
162,2
163,2
164,0
165,3
166,2
167,2
168,0
169,1
170,3
171,0
172,3
173,2
174,3
175,3
176,2
177,0
178,2
179,2
180,2
181,2
182,0
183,2
184,2
185,0
186,0
187,0
188,0
189,0
190,2
191,1
192,3
193,2
194,3
195,1
196,2
197,2
198,2
199,2
200,2
201,0
202,2
203,2
204,0
205,2
206,2
207,2
208,0
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,3
218,2
219,1
220,2
221,2
222,2
223,2
224,1
225,0
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,3
236,0
237,2
238,2
239,2
240,2
241,0
242,3
243,2
244,2
245,0
246,0
247,2
248,2
249,2
250,2
251,0
252,2
253,2
254,2
255,2
256,0
257,2
258,0
259,3
260,2
261,2
262,2
263,1
264,2
265,1
266,2
267,2
268,2
269,2
270,3
271,1
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,0
281,0
282,2
283,0
284,3
285,3
286,2
287,2
288,0
289,0
290,2
291,2
292,2
293,2
294,2
295,2
296,2
297,2
298,2
299,2
300,3
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,3
309,2
310,3
311,3
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,3
322,2
323,2
324,2
325,3
326,0
327,3
328,0
329,2
330,1
331,2
332,2
333,2
334,0
335,2
336,2
337,0
338,1
339,2
340,0
341,0
342,0
343,2
344,2
345,3
346,2
347,2
348,2
349,2
350,2
351,2
352,1
353,2
354,3
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,2
363,3
364,2
365,0
366,0
367,2
368,1
369,2
370,2
371,2
372,2
373,0
374,2
375,0
376,2
377,2
378,1
379,2
380,0
381,2
382,3
383,2
384,2
385,2
386,2
387,2
388,2
389,0
390,2
391,2
392,2
393,2
394,2
395,2
396,1
397,2
398,0
399,2
400,3
401,2
402,2
403,3
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,0
415,2
416,2
417,3
418,3
419,2
420,2
421,2
422,2
423,2
424,3
425,2
426,0
427,0
428,1
429,3
430,2
431,2
432,0
433,2
434,3
435,2
436,2
437,0
438,2
439,2
440,2
441,2
442,3
443,1
444,2
445,3
446,2
447,0
448,2
449,2
450,3
451,2
452,2
453,0
454,1
455,0
456,2
457,2
458,0
459,1
460,2
461,1
462,2
463,1
464,2
465,2
466,2
467,2
468,2
469,2
470,1
471,2
472,2
473,1
474,1
475,1
476,2
477,3
478,2
479,2
480,2
481,2
482,2
483,1
484,2
485,2
486,2
487,2
488,1
489,2
490,2
491,1
492,2
493,0
494,2
495,0
496,2
497,2
498,2
499,2
500,3
501,2
502,1
503,2
504,2
505,2
506,2
507,2
508,2
509,2
510,2
511,2
512,1
513,2
514,1
515,2
516,0
517,2
518,1
519,2
520,2
521,2
522,3
523,2
524,3
525,2
526,2
527,2
528,0
529,2
530,2
531,1
532,2
533,0
534,2
535,0
536,3
537,2
538,2
539,1
540,2
541,2
542,2
543,2
544,2
545,1
546,2
